City,Name,Address,Latitude,Longitude
Hidalgo,Hidalgo County Health and Human Services,"209 W La Vista Ave, McAllen, TX 78501, USA",26.223828724634114,-98.21837385074913
Hidalgo,UT Health RGV Employee Health Edinburg,"281 TX-107, Edinburg, TX 78539, USA",26.30174,-98.16334
Hidalgo,UT Health RGV Family Health,"2833 W Canton Rd, Edinburg, TX 78539, USA",26.28342752792028,-98.197088386386
Jasper/Newton,Jasper-Newton Co Public Health District,"15555 FM 1004, Buna, TX 77612, USA",30.4426107944804,-93.9701696077563
Jefferson,Jefferson County Health Department,"590 Morris Majestic Rd, Morris, AL 35116, USA",33.7481417,-86.80928546
Jim Wells,Christus Spohn Health System - Alice,"701 E 2nd St, Alice, TX 78332, USA",27.75225,-98.06972
Kleberg,Christus Spohn Health System - Kleberg,"Unnamed Road, Kingsville, TX 78363, USA",27.42671,-97.66839
Kleberg,Kleberg County Sheriff's Office,"1500 E King Ave, Kingsville, TX 78363, USA",27.5166412,-97.8474547
La Salle,La Salle County Regional Health Authority,"Unnamed Road, Encinal, TX 78019, USA",28.06012898410014,-99.33718107371743
Liberty,"Emergency Hospital Systems, LLC","8826 Orchard Ridge Ln, Humble, TX 77338, USA",30.00745448080669,-95.289721915324
Lubbock,City of Lubbock Health Department,"1702 Crickets Ave, Lubbock, TX 79401, USA",33.57966785162319,-101.84336347578409
Maverick,Fort Duncan Regional Medical Center,"3333 North Foster Maldonado Boulevard, Eagle Pass, TX 78852, USA",28.7130084,-100.4553416
McLennan,Providence Health Center,"6901 Medical Pkwy, Waco, TX 76712, USA",31.5144776,-97.19942532
McLennan,Waco-McLennan County Public Health District,"1010 N University Parks Dr, Waco, TX 76707, USA",31.565441316459655,-97.1361765226513
Midland,Midland Memorial Hospital,"2200 W Illinois Ave, Midland, TX 79701, USA",31.9971096,-102.0996476
Montgomery,Lone Star Family Health Center,"327 Gamewood Dr, Spring, TX 77386, USA",30.136967516494604,-95.43988941132315
Nueces,Corpus Christi-Nueces County Public Health District,"4040 Greenwood Dr, Corpus Christi, TX 78416, USA",27.75948255314402,-97.42998185479426
Nueces,Driscoll Health System,"429 Angelo Dr, Corpus Christi, TX 78411, USA",27.753715485590458,-97.3861296363473
Parker,Parker County Hospital District,"1111 NW Pettygrove St, Portland, OR 97209, USA",45.533273,-122.6837459
Potter,Amarillo Public Health Department,"950 Martin Rd, Amarillo, TX 79107, USA",35.224996344748476,-101.81135747706678
Reeves,Pecos Valley Rural Health Clinic,"2201 Stafford Blvd, Pecos, TX 79772, USA",31.402452371550446,-103.51535651585588
Smith,Northeast Texas Public Health District,"12827 Lavender Rd, Tyler, TX 75706, USA",32.45157874234739,-95.30547479525923
Smith,UT Health Science Center at Tyler,"Health Center Dr, Tyler, TX 75708, USA",32.425039060803726,-95.21299489123271
Tarrant,Arlington Fire Department,"601 Briaroaks Ct, Arlington, TX 76011, USA",32.74450025204576,-97.11301296389931
Tarrant,Tarrant County Public Health District,"US-287, Fort Worth, TX 76102, USA",32.76311786939361,-97.31898810727576
Tarrant,Texas Health Resources,"505 W 5th St, Fort Worth, TX 76102, USA",32.76489731156085,-97.34233222867994
Taylor,Abilene-Taylor County Health Department,"Abilene Park Maintenance Department, 633 Walnut St, Abilene, TX 79601, USA",32.45505425010338,-99.73079946001326
Tom Green,Shannon Pharmacy,"123 E Beauregard Ave, San Angelo, TX 76903, USA",31.463402621368907,-100.43396017352644
Travis,Austin Public Health,"41 Navasota St, Austin, TX 78702, USA",30.25406411784651,-97.73303854676332
Travis,UT Health Dell Medical School,"The University of Texas at Austin, Austin, TX 78701, USA",30.275688195857892,-97.7334756582069
Uvalde,Uvalde Memorial Hospital,"1025 Garner Field Rd, Uvalde, TX 78801, USA",29.214752161741714,-99.76820258706358
Victoria,Victoria County Public Health Department,"2805 N Navarro St, Victoria, TX 77901, USA",28.821969676392545,-97.00232676008667
Washington,Washington County EMS,"1875 US-290, Brenham, TX 77833, USA",30.15693023025629,-96.4214743312249
Webb,City of Laredo Health Department,"2600 Cedar Ave, Laredo, TX 78040, USA",27.52035082426136,-99.490481387095
Williamson,Family Emergency Rooms Cedar Park,"3620 E Whitestone Blvd, Cedar Park, TX 78613, USA",30.537711695721722,-97.77489627354537
